"record_id","street_num","street_dir","street_name","street_type","record_type","task","status","record_status_date","parcel_id","geom"
"ANN2004-04239","4435","W","VERNOR","","Commercial Inspection","Issue CofC","Issued","2/1/2020 00:00:00","14000343.","0101000020E6100000F2B56C602CC654C065667F0AF0284540"
"ANN2004-04251","7830",,"ACKLEY",,"Commercial Inspection","Issue CofC","Issued","15/6/2022 00:00:00","15001034-43","0101000020E6100000BDFCF89F46C254C0635D5AA093314540"
"ANN2004-04266","500","E","SEVEN MILE","","Commercial Inspection","Issue CofC","Issued","9/3/2020 00:00:00",,
"ANN2004-04293","7701","","HARPER","","Commercial Inspection","Issue CofC","Issued","29/10/2020 00:00:00","15000819.","0101000020E61000008AAE47D972C154C051A25676A3314540"
"ANN2004-04304","6501","","LYNCH RD","","Commercial Inspection","Issue CofC","Issued","3/12/2021 00:00:00","15002527.001","0101000020E61000000FD4E0B11EC254C0DEFEE79308344540"
"ANN2004-04306","13710","E","EIGHT MILE","","Commercial Inspection","Issue CofC","Issued","15/3/2019 00:00:00","21028249-56","0101000020E6100000A67AECEDF0BE54C0DA5E8DF47C394540"
"ANN2004-04307","17620","","GRAND RIVER","","Commercial Inspection","Issue CofC","Issued","2/8/2019 00:00:00","22008175-7","0101000020E61000007F749BFBCCCD54C0AF9F67FA33334540"
"ANN2004-04312","14100","E","EIGHT MILE",,"Commercial Inspection","Issue CofC","Issued","31/8/2022 00:00:00","21028186-9","0101000020E61000009B5A099F9ABE54C0857074A080394540"
"ANN2004-04316","14444","E","EIGHT MILE","","Commercial Inspection","Issue CofC","Issued","30/4/2021 00:00:00","21028134-54","0101000020E61000002854167157BE54C085CC727A83394540"
"ANN2004-04322","15650",,"EIGHT MILE",,"Commercial Inspection","Issue CofC","Issued","7/4/2022 00:00:00","21028025-9","0101000020E6100000901F462E72BD54C0377997D290394540"
"ANN2004-04323","15670","E","EIGHT MILE",,"Commercial Inspection","Issue CofC","Issued","27/7/2022 00:00:00","21028023-4","0101000020E6100000CBA4CC166CBD54C013130F8891394540"
"ANN2004-04326","15800","E","EIGHT MILE",,"Commercial Inspection","Issue CofC","Issued","11/8/2022 00:00:00","21027993-8010","0101000020E61000004900551353BD54C0E3E283C692394540"
"ANN2004-04330","16086","E","EIGHT MILE",,"Commercial Inspection","Issue CofC","Issued","4/5/2022 00:00:00","21027960-5","0101000020E6100000BB5EA7F514BD54C0AA91D3FC93394540"
